fat,len,wid,slat,slon
0,1.0,50,38.75,-93.85
0,0.5,80,44.02,-83.93
0,0.75,20,26.998,-82.028
0,0.1,50,34.77,-77.1
0,7.18,50,30.707,-92.6702
0,0.01,10,26.84,-81.52
0,2.0,100,34.5,-97.12
0,0.25,40,32.76,-92.65
0,0.5,10,39.3,-102.94
0,0.1,50,39.18,-96.8
0,0.1,25,38.82,-94.53
0,1.06,50,37.24,-97.61
0,0.65,100,33.16,-86.86
0,5.0,50,38.47,-76.48
0,7.14,20,30.21,-81.66
0,2.04,150,31.4895,-101.47
0,1.83,200,37.2784,-88.3739
0,0.1,20,37.37,-85.98
0,0.1,50,43.68,-93.07
0,0.5,50,36.67,-101.48
0,0.5,50,40.75,-88.52
0,0.1,25,37.7004,-89.1492
0,1.34,10,44.5359,-93.5852
0,1.69,250,37.6964,-99.9882
0,0.25,50,43.71,-96.32
0,0.24,20,34.3015,-86.9734
0,6.97,100,33.69,-84.73
0,0.1,25,44.869,-88.749
0,0.5,20,36.68,-101.48
0,11.28,100,41.593,-94.1424
0,0.74,80,41.1912,-87.7357
0,61.19,350,31.672,-89.1726
0,1.66,20,28.04,-97.38
0,0.06,10,34.3475,-100.8193
0,3.23,125,32.5268,-89.1628
0,1.0,250,36.82,-97.85
0,0.76,100,35.139,-81.276
0,10.0,1000,32.9,-89.83
0,1.8,30,38.42,-99.95
11,45.05,800,38.4316,-86.1893
0,0.2,100,43.72,-98.07
0,0.2,20,39.95,-96.78
0,0.36,75,38.5233,-89.0708
0,4.8,50,33.5,-93.52
0,7.31,250,34.6206,-92.98
0,0.1,30,26.13,-81.8
0,2.0,100,44.12,-93.98
0,2.0,25,48.32,-98.33
0,0.2,25,45.22,-95.33
0,0.1,50,38.32,-102.77
0,0.07,30,35.814,-76.832
0,1.0,50,39.88,-94.42
0,12.0,240,39.05,-102.07
0,0.29,50,34.6431,-86.8463
0,7.57,125,33.73,-102.07
0,3.23,200,33.83,-86.8012
0,1.35,50,44.3115,-88.9345
0,0.47,25,43.11,-94.08
0,0.5,50,30.99,-90.15
0,0.3,30,34.52,-78.27
0,0.16,50,32.1207,-83.5002
0,0.1,75,38.57,-103.3
0,7.0,75,35.31,-97.91
0,0.1,50,39.04,-95.98
0,3.91,150,43.6153,-88.5222
0,0.8,75,30.1447,-82.2818
0,9.25,200,39.91,-94.2
0,0.1,20,43.0,-101.95
0,1.0,30,29.48,-95.82
0,0.3,50,31.6,-100.63
0,1.53,50,35.053,-82.444
0,0.1,20,27.45,-80.45
0,1.08,100,34.8759,-90.0442
0,0.5,100,40.17,-104.33
0,0.2,30,36.83,-87.16
0,0.2,20,37.8,-86.9
0,11.0,1200,34.809,-99.614
0,9.64,600,36.717,-90.804
0,14.96,100,31.33,-86.77
0,10.0,600,31.7,-91.13
0,1.0,50,40.33,-94.87
0,2.35,200,41.2651,-87.5685
0,23.0,430,30.82,-89.67
0,0.1,10,41.0,-92.18
0,0.5,30,38.83,-104.08
0,1.0,50,39.95,-97.35
0,0.5,60,42.38,-73.78
0,0.88,150,30.2384,-93.5991
0,5.0,50,34.43,-101.65
0,0.27,50,39.8778,-82.9965
0,7.5,10,28.55,-82.42
0,1.3,200,40.7651,-87.6868
0,0.1,0,34.88,-99.7
0,0.1,50,32.72,-99.94
0,0.1,10,31.22,-92.16
0,7.2,1100,35.9436,-95.5608
0,0.39,50,46.68,-110.0
0,2.0,100,38.38,-76.65
0,3.0,440,29.98,-94.97
0,7.87,150,39.72,-79.53
0,0.1,10,39.9,-88.82
0,0.5,30,29.38,-97.23
0,0.5,20,46.1,-100.93
0,0.8,100,32.45,-102.62
0,2.18,325,33.9128,-86.7689
0,28.36,600,31.8964,-90.178
0,4.8,150,34.9631,-86.6509
0,2.86,30,45.89,-96.23
0,3.05,600,30.3501,-93.7148
0,2.3,100,40.95,-76.88
0,15.25,150,39.9199,-89.6909
0,0.5,15,18.3,-67.18
0,2.9,75,36.9345,-96.2705
0,2.12,100,36.5927,-88.4261
0,12.0,440,39.8,-104.4
0,0.2,100,36.3568,-99.3722
0,7.7,700,38.1961,-100.0382
0,1.85,30,38.3306,-85.758
0,0.5,50,35.3347,-111.706
0,0.5,100,39.48,-104.82
0,0.1,10,42.15,-91.62
0,5.14,325,37.0595,-87.0544
0,0.1,10,40.35,-104.43
0,0.3,100,41.15,-96.5
0,0.1,10,33.32,-98.6
0,0.18,30,43.4985,-92.2599
0,8.3,200,41.2422,-82.003
